n,obj_coef,Method,Constraint,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,4.412491869641816
100,0,"StochOptForest
(apx-soln)",yes,3.24893832393931
100,0,"StochOptForest
(apx-soln)",yes,4.127862730317592
100,0,"StochOptForest
(apx-soln)",yes,4.218306270523956
100,0,"StochOptForest
(apx-soln)",yes,2.7386231101306513
100,0,"StochOptForest
(apx-soln)",yes,3.3838875693171895
100,0,"StochOptForest
(apx-soln)",yes,4.509248176702196
100,0,"StochOptForest
(apx-soln)",yes,4.1243620413414
100,0,"StochOptForest
(apx-soln)",yes,4.5584228399204445
100,0,"StochOptForest
(apx-soln)",yes,3.751659066333476
100,0,"StochOptForest
(apx-soln)",yes,3.8896965304812023
100,0,"StochOptForest
(apx-soln)",yes,4.390425985721406
100,0,"StochOptForest
(apx-soln)",yes,4.1848881233151705
100,0,"StochOptForest
(apx-soln)",yes,4.7589867920473266
100,0,"StochOptForest
(apx-soln)",yes,4.330584209017811
100,0,"StochOptForest
(apx-soln)",yes,4.3200976947574485
100,0,"StochOptForest
(apx-soln)",yes,2.6563871162748716
100,0,"StochOptForest
(apx-soln)",yes,5.208007395658485
100,0,"StochOptForest
(apx-soln)",yes,5.284682949848907
100,0,"StochOptForest
(apx-soln)",yes,3.2937196029504148
100,0,"StochOptForest
(apx-soln)",yes,5.10358211407355
100,0,"StochOptForest
(apx-soln)",yes,2.9044737838238817
100,0,"StochOptForest
(apx-soln)",yes,3.945986088300186
100,0,"StochOptForest
(apx-soln)",yes,5.044856519585126
100,0,"StochOptForest
(apx-soln)",yes,4.4027395656760575
100,0,"StochOptForest
(apx-soln)",yes,5.108840223220391
100,0,"StochOptForest
(apx-soln)",yes,4.407644677717148
100,0,"StochOptForest
(apx-soln)",yes,4.129672715186405
100,0,"StochOptForest
(apx-soln)",yes,4.3276507124277295
100,0,"StochOptForest
(apx-soln)",yes,4.097223619577132
100,0,"StochOptForest
(apx-soln)",yes,3.9190703306421892
100,0,"StochOptForest
(apx-soln)",yes,3.5702034753270744
100,0,"StochOptForest
(apx-soln)",yes,5.609220645376702
100,0,"StochOptForest
(apx-soln)",yes,4.509820151554658
100,0,"StochOptForest
(apx-soln)",yes,4.942325361026113
100,0,"StochOptForest
(apx-soln)",yes,5.26275273384551
100,0,"StochOptForest
(apx-soln)",yes,4.88172862675663
100,0,"StochOptForest
(apx-soln)",yes,3.2741274193587375
100,0,"StochOptForest
(apx-soln)",yes,3.8806068578163413
100,0,"StochOptForest
(apx-soln)",yes,4.331261151235305
100,0,"StochOptForest
(apx-soln)",yes,5.000476038972416
100,0,"StochOptForest
(apx-soln)",yes,3.5671232621681384
100,0,"StochOptForest
(apx-soln)",yes,4.855823020978136
100,0,"StochOptForest
(apx-soln)",yes,6.50653695210384
100,0,"StochOptForest
(apx-soln)",yes,4.597716971733426
100,0,"StochOptForest
(apx-soln)",yes,4.651763264527293
100,0,"StochOptForest
(apx-soln)",yes,3.5628005635920807
100,0,"StochOptForest
(apx-soln)",yes,5.419548243202381
100,0,"StochOptForest
(apx-soln)",yes,4.3614804121460224
100,0,"StochOptForest
(apx-soln)",yes,4.902851741451713
100,0,"StochOptForest
(apx-soln)",no,5.397935918407571
100,0,"StochOptForest
(apx-soln)",no,5.321974283810139
100,0,"StochOptForest
(apx-soln)",no,4.917279313049475
100,0,"StochOptForest
(apx-soln)",no,5.1636073907441515
100,0,"StochOptForest
(apx-soln)",no,5.186373191795443
100,0,"StochOptForest
(apx-soln)",no,5.51146677737537
100,0,"StochOptForest
(apx-soln)",no,4.768440470193634
100,0,"StochOptForest
(apx-soln)",no,4.720379557931719
100,0,"StochOptForest
(apx-soln)",no,4.602911979755302
100,0,"StochOptForest
(apx-soln)",no,5.236693811683494
100,0,"StochOptForest
(apx-soln)",no,5.230772264457878
100,0,"StochOptForest
(apx-soln)",no,5.488850277147802
100,0,"StochOptForest
(apx-soln)",no,5.374799112321325
100,0,"StochOptForest
(apx-soln)",no,4.698487454317108
100,0,"StochOptForest
(apx-soln)",no,5.624647799343713
100,0,"StochOptForest
(apx-soln)",no,5.764602019617428
100,0,"StochOptForest
(apx-soln)",no,4.502176352366595
100,0,"StochOptForest
(apx-soln)",no,5.386621904576234
100,0,"StochOptForest
(apx-soln)",no,5.966694555904468
100,0,"StochOptForest
(apx-soln)",no,5.1189271127018845
100,0,"StochOptForest
(apx-soln)",no,5.156749836969962
100,0,"StochOptForest
(apx-soln)",no,4.991272114451005
100,0,"StochOptForest
(apx-soln)",no,5.511606403777158
100,0,"StochOptForest
(apx-soln)",no,5.235749305924782
100,0,"StochOptForest
(apx-soln)",no,5.525025915575978
100,0,"StochOptForest
(apx-soln)",no,5.824146866261553
100,0,"StochOptForest
(apx-soln)",no,4.779296102501212
100,0,"StochOptForest
(apx-soln)",no,5.471922285502393
100,0,"StochOptForest
(apx-soln)",no,5.887710471568229
100,0,"StochOptForest
(apx-soln)",no,4.742169344118057
100,0,"StochOptForest
(apx-soln)",no,5.739338033713085
100,0,"StochOptForest
(apx-soln)",no,4.7567677720552055
100,0,"StochOptForest
(apx-soln)",no,5.660560760226581
100,0,"StochOptForest
(apx-soln)",no,5.234828745193341
100,0,"StochOptForest
(apx-soln)",no,5.012458133969324
100,0,"StochOptForest
(apx-soln)",no,4.940072812584291
100,0,"StochOptForest
(apx-soln)",no,5.132243924829758
100,0,"StochOptForest
(apx-soln)",no,5.2572353284288385
100,0,"StochOptForest
(apx-soln)",no,5.394631205425989
100,0,"StochOptForest
(apx-soln)",no,5.147472098696385
100,0,"StochOptForest
(apx-soln)",no,5.1294082645488155
100,0,"StochOptForest
(apx-soln)",no,5.408841238610576
100,0,"StochOptForest
(apx-soln)",no,5.117015977478
100,0,"StochOptForest
(apx-soln)",no,5.569046177855233
100,0,"StochOptForest
(apx-soln)",no,4.812669807552291
100,0,"StochOptForest
(apx-soln)",no,5.940663517989261
100,0,"StochOptForest
(apx-soln)",no,4.873396436316125
100,0,"StochOptForest
(apx-soln)",no,5.639893029117655
100,0,"StochOptForest
(apx-soln)",no,4.958093023546212
100,0,"StochOptForest
(apx-soln)",no,5.2654371652617105
100,0,"StochOptForest
(apx-risk)",yes,3.418121216069936
100,0,"StochOptForest
(apx-risk)",yes,2.7842742417272355
100,0,"StochOptForest
(apx-risk)",yes,3.4892264806837217
100,0,"StochOptForest
(apx-risk)",yes,4.385994453439715
100,0,"StochOptForest
(apx-risk)",yes,3.2610030123978904
100,0,"StochOptForest
(apx-risk)",yes,2.7304210500668193
100,0,"StochOptForest
(apx-risk)",yes,3.9530174956822774
100,0,"StochOptForest
(apx-risk)",yes,3.3965114050033205
100,0,"StochOptForest
(apx-risk)",yes,3.885481899763534
100,0,"StochOptForest
(apx-risk)",yes,3.0095987391370866
100,0,"StochOptForest
(apx-risk)",yes,4.5968099977925725
100,0,"StochOptForest
(apx-risk)",yes,3.119390602454825
100,0,"StochOptForest
(apx-risk)",yes,3.565165069305585
100,0,"StochOptForest
(apx-risk)",yes,4.221021446360307
100,0,"StochOptForest
(apx-risk)",yes,3.5383516038239486
100,0,"StochOptForest
(apx-risk)",yes,3.423749290219987
100,0,"StochOptForest
(apx-risk)",yes,2.486459545144259
100,0,"StochOptForest
(apx-risk)",yes,4.5464217789776304
100,0,"StochOptForest
(apx-risk)",yes,5.361311068667642
100,0,"StochOptForest
(apx-risk)",yes,2.8914613597194747
100,0,"StochOptForest
(apx-risk)",yes,3.9592834930990595
100,0,"StochOptForest
(apx-risk)",yes,2.4513259610434313
100,0,"StochOptForest
(apx-risk)",yes,4.241685219052076
100,0,"StochOptForest
(apx-risk)",yes,3.6558405766944615
100,0,"StochOptForest
(apx-risk)",yes,3.7928270993442865
100,0,"StochOptForest
(apx-risk)",yes,4.947381493706365
100,0,"StochOptForest
(apx-risk)",yes,4.635171399704185
100,0,"StochOptForest
(apx-risk)",yes,4.158546054545707
100,0,"StochOptForest
(apx-risk)",yes,3.593459675089277
100,0,"StochOptForest
(apx-risk)",yes,4.464952655089159
100,0,"StochOptForest
(apx-risk)",yes,3.2246887918141813
100,0,"StochOptForest
(apx-risk)",yes,3.4194780336721964
100,0,"StochOptForest
(apx-risk)",yes,4.797052329143614
100,0,"StochOptForest
(apx-risk)",yes,2.7387825536888086
100,0,"StochOptForest
(apx-risk)",yes,4.395068607092172
100,0,"StochOptForest
(apx-risk)",yes,4.292860377846606
100,0,"StochOptForest
(apx-risk)",yes,4.306161288205451
100,0,"StochOptForest
(apx-risk)",yes,2.6277412145289536
100,0,"StochOptForest
(apx-risk)",yes,3.5516988620115026
100,0,"StochOptForest
(apx-risk)",yes,4.5967369571291785
100,0,"StochOptForest
(apx-risk)",yes,3.7613713142816882
100,0,"StochOptForest
(apx-risk)",yes,4.186429448118244
100,0,"StochOptForest
(apx-risk)",yes,4.295979174312141
100,0,"StochOptForest
(apx-risk)",yes,5.809823634875359
100,0,"StochOptForest
(apx-risk)",yes,4.346918011627899
100,0,"StochOptForest
(apx-risk)",yes,4.379353229278187
100,0,"StochOptForest
(apx-risk)",yes,3.260175831944615
100,0,"StochOptForest
(apx-risk)",yes,5.058685933787357
100,0,"StochOptForest
(apx-risk)",yes,4.021412881905024
100,0,"StochOptForest
(apx-risk)",yes,4.745836353999709
100,0,"StochOptForest
(apx-risk)",no,3.430033579740029
100,0,"StochOptForest
(apx-risk)",no,3.137563202979588
100,0,"StochOptForest
(apx-risk)",no,3.1859558146171105
100,0,"StochOptForest
(apx-risk)",no,4.408426213358728
100,0,"StochOptForest
(apx-risk)",no,3.431895270401272
100,0,"StochOptForest
(apx-risk)",no,2.961722824861208
100,0,"StochOptForest
(apx-risk)",no,3.5280595144100695
100,0,"StochOptForest
(apx-risk)",no,3.5473848538866797
100,0,"StochOptForest
(apx-risk)",no,3.376192422698485
100,0,"StochOptForest
(apx-risk)",no,3.533587904309403
100,0,"StochOptForest
(apx-risk)",no,3.2633879350879984
100,0,"StochOptForest
(apx-risk)",no,3.9575843091257568
100,0,"StochOptForest
(apx-risk)",no,3.749920156997122
100,0,"StochOptForest
(apx-risk)",no,3.81309458344462
100,0,"StochOptForest
(apx-risk)",no,3.1909587664334804
100,0,"StochOptForest
(apx-risk)",no,3.7893486549098774
100,0,"StochOptForest
(apx-risk)",no,3.1230348724392165
100,0,"StochOptForest
(apx-risk)",no,4.189426166218717
100,0,"StochOptForest
(apx-risk)",no,4.9081911749311065
100,0,"StochOptForest
(apx-risk)",no,2.705729565981366
100,0,"StochOptForest
(apx-risk)",no,3.751480879513679
100,0,"StochOptForest
(apx-risk)",no,2.875422632274349
100,0,"StochOptForest
(apx-risk)",no,3.275447610420558
100,0,"StochOptForest
(apx-risk)",no,3.1864251873088834
100,0,"StochOptForest
(apx-risk)",no,4.558064083417029
